seconds,event,why,moved,tank
0.041,arrived,B1-B,,
seconds,event,why,moved,tank
0.045,arrived,B2-B,,
seconds,event,why,moved,tank
0.043,arrived,B1-A,,
seconds,event,why,moved,tank
0.046,arrived,B1-A,,
seconds,event,why,moved,tank
0.04,arrived,B1-E,,
49.06,arrived,B1-A,,
65.228,fuel,swept,1,44.7521
80.165,fuel,swept,1,45.7521
93.884,arrived,B1-D,,
101.06,arrived,B1-A,,
107.713,arrived,B1-E,,
112.433,end,,,
seconds,event,why,moved,tank
0.036,arrived,B1-E,,
11.806,end,,,
seconds,event,why,moved,tank
0.034,arrived,B1-E,,
9.076,arrived,B1-A,,
18.12,arrived,B1-A,,
60.96,arrived,B1-A,,
67.146,end,,,
seconds,event,why,moved,tank
0.049,arrived,B1-A,,
9.67,end,,,
seconds,event,why,moved,tank
31.823,fuel,pointmaker,-2.9475,97.0525
32.272,fuel,pointmaker,-2.9475,94.105
36.53,fuel,wand,-0.0852509,94.0197
36.539,fuel,wand,-0.0852509,93.9345
36.558,fuel,wand,-0.0852509,93.8492
36.572,fuel,wand,-0.0852509,93.764
36.589,fuel,wand,-0.0852509,93.6787
36.606,fuel,wand,-0.0852509,93.5935
36.622,fuel,wand,-0.0852509,93.5082
36.639,fuel,wand,-0.0852509,93.423
36.656,fuel,wand,-0.0852509,93.3377
36.672,fuel,wand,-0.0852509,93.2525
36.69,fuel,wand,-0.0852509,93.1672
36.706,fuel,wand,-0.0852509,93.082
36.723,fuel,wand,-0.0852509,92.9967
36.739,fuel,wand,-0.0852509,92.9115
36.756,fuel,wand,-0.0852509,92.8262
36.772,fuel,wand,-0.0852509,92.741
36.789,fuel,wand,-0.0852509,92.6557
36.806,fuel,wand,-0.0852509,92.5705
36.824,fuel,wand,-0.0852509,92.4852
36.839,fuel,wand,-0.0852509,92.4
36.856,fuel,wand,-0.0852509,92.3147
36.872,fuel,wand,-0.0852509,92.2295
36.889,fuel,wand,-0.0852509,92.1442
36.906,fuel,wand,-0.0852509,92.059
36.923,fuel,wand,-0.0852509,91.9737
36.939,fuel,wand,-0.0852509,91.8885
36.956,fuel,wand,-0.0852509,91.8032
36.974,fuel,wand,-0.0852509,91.718
36.989,fuel,wand,-0.0852509,91.6327
37.006,fuel,wand,-0.0852509,91.5475
37.023,fuel,wand,-0.0852509,91.4622
37.039,fuel,wand,-0.0852509,91.377
37.056,fuel,wand,-0.0852509,91.2917
37.072,fuel,wand,-0.0852509,91.2065
37.09,fuel,wand,-0.0852509,91.1212
37.106,fuel,wand,-0.0852509,91.036
37.122,fuel,wand,-0.0852509,90.9507
37.139,fuel,wand,-0.0852509,90.8655
37.157,fuel,wand,-0.0852509,90.7802
37.172,fuel,wand,-0.0852509,90.695
37.189,fuel,wand,-0.0852509,90.6097
37.206,fuel,wand,-0.0852509,90.5245
37.222,fuel,wand,-0.0852509,90.4392
37.239,fuel,wand,-0.0852509,90.354
37.256,fuel,wand,-0.0852509,90.2687
37.274,fuel,wand,-0.0852509,90.1835
37.289,fuel,wand,-0.0852509,90.0982
37.306,fuel,wand,-0.0852509,90.013
37.323,fuel,wand,-0.0852509,89.9277
37.339,fuel,wand,-0.0852509,89.8425
37.357,fuel,wand,-0.0852509,89.7572
37.372,fuel,wand,-0.0852509,89.672
